feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,labels
-647.2050171,74.49481964,-1.027088404,18.25638199,8.400714874,2.474265575,-6.123550415,-2.492466688,-16.30906868,-2.110272408,-0.632600069,-2.432193279,0.957062483,-3.460786581,-0.890993178,2.436300993,-6.758150578,-1.168993473,-2.999688387,-0.060076412,male_neutral
-505.4209595,43.70133972,5.497512341,11.26470852,6.220228195,-0.615875721,-4.02844286,-7.540033817,-11.88988209,-6.152201653,-1.118113279,-2.478162766,-2.151306391,-2.373057842,-1.217308879,0.445248514,-4.826901913,-3.397210598,-0.05825549,-2.881337166,male_neutral
-714.3744507,73.62759399,-3.383140087,19.4502182,5.375074387,1.764706016,-8.947393417,-3.630170822,-18.45538521,2.115344286,-1.539259434,-1.074878097,0.077444799,-3.825013161,-0.892966628,0.224868611,-7.663226128,-1.202283978,-2.900820255,-3.214230299,male_neutral
-636.1191406,74.38524628,-5.053097725,22.25300598,8.646654129,0.856430411,-4.796638966,-5.969506264,-18.15377998,-0.742294431,-1.46584177,-2.366808414,-1.034439921,-3.25164175,-2.338206291,1.70833075,-8.010624886,-0.221000463,-4.311787128,1.725494385,male_neutral
-415.2012024,24.10800362,9.246817589,9.3788414,5.221453667,-0.657454431,-2.493955374,-6.007517338,-8.118273735,-5.096920967,-2.273773432,-1.491040349,-1.870069146,-2.026535273,-0.497310281,-0.055974476,-2.695048332,-2.148780584,-0.582676828,-2.10342288,male_neutral
-693.7626343,69.42178345,-8.819526672,24.22333527,5.372189999,-0.029564468,-6.462508678,-9.159243584,-18.99100685,1.542086244,-2.807520866,-1.733384371,-1.923407912,-4.221315384,-3.435813189,-2.554908514,-9.938302994,-1.497779369,-3.811619282,-1.721634865,male_neutral
-644.5640869,76.07219696,-3.031957626,18.03558922,3.830156088,2.010351896,-5.771606445,-6.507545948,-16.28427505,-4.15807724,-1.796771526,-2.937760592,0.131484792,-3.680560112,-4.597733021,2.104958773,-8.21615696,-3.14178443,-1.387990117,1.016802788,male_neutral
-414.9676208,27.27639961,9.851875305,9.225354195,2.413935423,-0.12907736,-2.521965027,-7.011207104,-8.531179428,-6.271969318,-2.583095312,-1.225671649,-0.889004767,-1.937804103,-1.564516306,-0.577340662,-4.087866306,-3.758362293,0.459792227,-0.84098953,male_neutral
-699.4949951,74.19774628,-4.788212299,19.05597115,0.711303234,-0.025869185,-8.436880112,-8.136414528,-18.07731247,-2.308489323,-2.268204451,-2.535932064,-1.165885687,-5.035409451,-2.516243219,0.565731108,-9.860610008,-2.845945835,-2.138113976,-2.667451859,male_neutral
-645.8914185,70.95431519,1.215193391,18.35784531,6.103976727,4.332428455,-3.954722404,-6.541091919,-14.59688091,-3.284574747,-1.26880312,-1.210839272,-1.390607715,-2.802499294,-4.010446072,2.699784517,-7.485540867,-1.663711786,-1.489215255,0.430922776,male_neutral
-475.1446838,33.49438858,9.044198036,11.8046751,3.775755644,1.699104786,-2.690975189,-9.157167435,-9.488146782,-4.370347977,-1.371855259,-1.405017734,-1.506983638,-2.610986233,-1.784255981,0.607414782,-5.130409241,-3.503273487,0.135954767,-1.348515391,male_neutral
-703.6282349,68.23217773,-1.083375335,18.40281677,3.094265938,3.56419611,-7.063892841,-9.075576782,-14.78152943,-0.478967279,-0.635873497,-0.366178513,-2.669234037,-4.064693928,-3.341269732,0.294062465,-8.886187553,1.940330267,-0.386369318,-1.850612879,male_neutral
-654.0233154,89.36431122,0.995040119,22.60305977,8.381457329,4.046992302,-7.557062626,-3.923858643,-16.6169014,-5.340372086,-1.111468434,-2.939268827,-1.57356894,-3.198855162,-2.713579416,3.653049231,-9.672165871,0.339398235,-3.426068306,-0.93084836,male_calm
-532.2909546,47.30542755,11.45259285,14.27471447,7.053936958,1.006002545,-5.25565815,-7.085649014,-11.70610905,-7.331534386,-1.816263795,-2.23573637,-2.43397212,-2.967530489,-0.859436274,0.291505188,-5.84296751,-3.396473169,-0.772231877,-3.413035393,male_calm
-708.7554932,85.67449188,-1.967291713,23.04805756,5.558129787,3.321780205,-10.59987926,-6.781080723,-19.76366615,-3.484223127,-2.194708586,-3.899213314,-3.273332596,-4.133854866,-2.445978165,-1.104503274,-10.17610455,0.901335895,-4.420935154,-2.361140013,male_calm
-634.9024048,98.29607391,0.636593759,18.04615784,11.56665039,3.444862366,-8.761353493,-4.836172104,-14.20436001,-5.112384319,0.419737846,-1.675528884,-2.278909683,-3.387112617,-4.161484241,3.064069033,-8.849153519,-1.748451352,-2.698629618,-0.811098814,male_calm
-494.0227966,44.26145935,15.54772949,12.16681767,8.294727325,2.547136068,-4.284089088,-6.916807652,-8.81806469,-5.704678059,-0.418269962,-0.322312117,-2.102986813,-2.780600786,-1.988055825,-0.856193066,-5.326083183,-3.740616322,-0.624917209,-2.451720476,male_calm
-697.3945313,97.17944336,-2.595225096,17.72015762,7.419085503,2.1912148,-11.33866119,-6.36154604,-16.56086922,-3.186924458,-1.854796052,-2.18559432,-3.382775784,-4.14811945,-3.921273232,-0.56782794,-11.61428452,-0.268945873,-3.385144949,-3.670299292,male_calm
-621.4452515,93.05030823,-1.646289945,21.0435257,5.413839817,6.051486015,-4.661797047,-4.759570599,-14.75180721,-4.461732864,0.187933668,-0.410027832,-0.391741872,-4.596021652,-0.15492022,1.784917235,-10.88496304,-2.171773672,-1.947450995,-1.037186384,male_calm
-445.6262817,36.62779617,11.56893539,10.68187332,3.8861835,2.545370102,-2.179197311,-6.90341568,-8.332607269,-5.606189728,0.292537332,0.443676025,-1.247105956,-2.276523829,-0.784986496,-1.301995635,-5.816450596,-3.53012681,0.114473142,-2.910624981,male_calm
-687.5431519,91.49338531,-2.147197247,24.03274727,2.016362429,6.4277668,-8.305409431,-6.806322575,-17.70370483,-0.926253736,1.821657538,1.431638122,-1.582633257,-3.283976078,0.752731264,-2.263226986,-11.49691677,-0.944975913,-1.501512647,-2.562978268,male_calm
-627.571106,95.67068481,-2.467723131,19.58654976,7.754917145,3.747520685,-4.423016071,-6.850056171,-14.0684185,-4.979930878,-1.581328273,-1.236810446,-0.6968593,-3.94690299,-1.710543275,2.795783043,-9.965593338,-1.5669626,-2.761066675,-0.446927875,male_calm
-391.9916382,26.57505226,12.78321552,8.88951683,3.688713074,2.390822887,-1.414126158,-5.976511002,-7.06329298,-5.770863056,-1.365592718,0.483115941,-0.497087061,-1.211940885,-0.418143004,-0.478831619,-3.602741957,-2.943129539,-0.272893548,-2.48161149,male_calm
-681.5341187,92.2481308,-4.750927448,19.479599,4.603961468,2.415447235,-8.050932884,-9.849061966,-15.99647713,-3.365289927,-1.104280114,-0.556938708,-2.031709909,-5.298415661,-0.138865605,-1.312263846,-10.0278492,-0.120804287,-3.75648737,-5.12585783,male_calm
-639.2920532,106.4723511,2.723686218,22.64263535,10.4211359,4.955759048,-8.705751419,-2.053590536,-12.41681099,-4.456889629,0.061347179,2.016199589,-2.952639341,-3.571937799,-2.225413322,2.603613853,-5.002157211,-2.031136513,-2.573095322,3.251475334,male_calm
-515.4908447,53.01049042,17.35174751,14.09301949,7.864099503,1.440036416,-4.904075146,-6.013837814,-8.07729435,-5.97803545,-0.59009099,0.079299122,-1.880460501,-2.586290836,-0.876107216,0.217170045,-3.430825233,-3.028578758,0.883979321,-1.622532964,male_calm
-695.352478,102.7546768,0.090518527,23.15512276,7.459076405,3.617987394,-10.10622787,-3.527506828,-14.98028469,-2.632668495,1.186975121,0.830780327,-4.846642017,-2.74958992,-1.925844312,-0.519937396,-4.749274731,-2.316414356,0.369563967,-1.895814061,male_calm
-595.588623,101.8925629,-3.357778311,20.96164131,5.999680042,3.028616667,-10.50850677,-6.227044582,-14.94239998,-5.679944038,0.431929827,0.166080937,-3.994025946,-4.970129013,-2.852318287,1.088528275,-9.059731483,-1.600110412,-3.504232407,1.043079972,male_calm
-486.7384033,49.00889587,16.89018631,12.17044163,5.508926392,1.963852644,-5.624771595,-7.145786285,-8.598319054,-6.442364216,-0.5728212,-0.706332445,-2.567602158,-2.6067729,-1.427246094,-0.925846696,-4.822544575,-4.11197567,-0.369342476,-2.413180351,male_calm
-659.638916,98.83459473,-6.353363037,22.87320328,0.880650163,2.210026503,-14.68884373,-6.304524899,-17.38445663,-3.87928772,-1.503042221,-0.417647988,-7.247541904,-4.228928089,-3.030029297,-2.631874323,-10.63729572,-0.315373063,-2.852876902,-2.650614262,male_calm
-586.6036377,92.7562561,3.772062302,22.15276718,1.152608037,10.25331402,-11.19668674,-5.143622875,-16.42403412,-6.073055267,-2.4094069,3.821784019,-3.289758444,-3.777769804,-1.37220943,0.443140924,-11.66453266,-1.764448524,-4.53749609,0.901040614,male_calm
-505.3693542,58.74596405,16.28554344,15.2618227,3.706748724,6.076609612,-5.631803989,-9.582167625,-10.99585247,-8.022999763,-0.916028857,2.125555515,-2.483399391,-3.6585114,-0.547165871,-1.499320745,-8.703911781,-4.624204159,-1.21111691,-4.248565674,male_calm
-640.9674683,87.44143677,1.138315797,21.88037872,-3.24674654,10.26468086,-16.20880699,-7.823379517,-18.53777504,-2.758079052,-1.233818054,4.536219597,-5.925044537,-2.424218178,-0.198815584,-2.289672375,-10.89811039,-1.453743696,-4.9821558,-4.933837414,male_calm
-568.3204956,99.88237762,-8.903764725,26.24058342,5.274557114,7.370071888,-10.65202808,-8.937425613,-18.40190125,-3.291551352,1.95218122,1.885897756,-3.038985729,-5.607341766,-3.620034456,3.230149984,-10.00466919,-1.294383049,-4.130986214,1.730690479,male_calm
